Region,age_group_name,sex_name,Nutrient,region_mean
Central Africa,25 to 29,Female,PUFA,0.9840088250080264
Central Africa,25 to 29,Female,Sodium,2.8021185836040505
Central Africa,25 to 29,Female,Sugar,47.06869734651323
Central Africa,25 to 29,Male,PUFA,1.0331250648347368
Central Africa,25 to 29,Male,Sodium,2.8637405874332504
Central Africa,25 to 29,Male,Sugar,38.19752506014793
Central Africa,30 to 34,Female,PUFA,0.9959762068748255
Central Africa,30 to 34,Female,Sodium,2.7666796537643132
Central Africa,30 to 34,Female,Sugar,40.422889196925084
Central Africa,30 to 34,Male,PUFA,1.0433509451429017
Central Africa,30 to 34,Male,Sodium,2.6731104971941506
Central Africa,30 to 34,Male,Sugar,32.7877002393879
Central Africa,35 to 39,Female,PUFA,1.0098834660906777
Central Africa,35 to 39,Female,Sodium,2.735769602495521
Central Africa,35 to 39,Female,Sugar,32.966803041840244
Central Africa,35 to 39,Male,PUFA,1.0565748068263847
Central Africa,35 to 39,Male,Sodium,2.7864500199478646
Central Africa,35 to 39,Male,Sugar,27.20312443577435
Central Africa,40 to 44,Female,PUFA,1.0232893990377845
Central Africa,40 to 44,Female,Sodium,2.64537937706724
Central Africa,40 to 44,Female,Sugar,27.933091300268725
Central Africa,40 to 44,Male,PUFA,1.074200197314042
Central Africa,40 to 44,Male,Sodium,2.754821356646954
Central Africa,40 to 44,Male,Sugar,22.353947933253192
Central Africa,45 to 49,Female,PUFA,1.035846583043412
Central Africa,45 to 49,Female,Sodium,2.5983822755550836
Central Africa,45 to 49,Female,Sugar,24.033667189628215
Central Africa,45 to 49,Male,PUFA,1.0879927951612054
Central Africa,45 to 49,Male,Sodium,2.698889916883579
Central Africa,45 to 49,Male,Sugar,20.034924446904586
Central Africa,50 to 54,Female,PUFA,1.0487571205504413
Central Africa,50 to 54,Female,Sodium,2.5522616750671014
Central Africa,50 to 54,Female,Sugar,21.550302819637498
Central Africa,50 to 54,Male,PUFA,1.1004557177680665
Central Africa,50 to 54,Male,Sodium,2.6354920622433444
Central Africa,50 to 54,Male,Sugar,17.713961475911564
Central Africa,55 to 59,Female,PUFA,1.0596793572897718
Central Africa,55 to 59,Female,Sodium,2.49699185833657
Central Africa,55 to 59,Female,Sugar,19.318306346470468
Central Africa,55 to 59,Male,PUFA,1.1130012664116586
Central Africa,55 to 59,Male,Sodium,2.5722246698648523
Central Africa,55 to 59,Male,Sugar,15.59854965986416
Central Africa,60 to 64,Female,PUFA,1.0631525726277902
Central Africa,60 to 64,Female,Sodium,2.5512347334205296
Central Africa,60 to 64,Female,Sugar,17.177799636390848
Central Africa,60 to 64,Male,PUFA,1.1138772323129713
Central Africa,60 to 64,Male,Sodium,2.638545437117842
Central Africa,60 to 64,Male,Sugar,14.004340776547313
Central Africa,65 to 69,Female,PUFA,1.0596410756792398
Central Africa,65 to 69,Female,Sodium,2.564217711655433
Central Africa,65 to 69,Female,Sugar,16.061141165692653
Central Africa,65 to 69,Male,PUFA,1.1103283160145405
Central Africa,65 to 69,Male,Sodium,2.6740083076707837
Central Africa,65 to 69,Male,Sugar,13.284377438950674
Central Africa,70 to 74,Female,PUFA,1.0525022633925063
Central Africa,70 to 74,Female,Sodium,2.5446720122373754
Central Africa,70 to 74,Female,Sugar,14.99199113891649
Central Africa,70 to 74,Male,PUFA,1.1019722393215734
Central Africa,70 to 74,Male,Sodium,2.6440602024791526
Central Africa,70 to 74,Male,Sugar,12.522457929019078
Central Africa,75 to 79,Female,PUFA,1.042607388365244
Central Africa,75 to 79,Female,Sodium,2.6367409420615826
Central Africa,75 to 79,Female,Sugar,14.152088538011952
Central Africa,75 to 79,Male,PUFA,1.0929814717195405
Central Africa,75 to 79,Male,Sodium,2.7818513289842643
Central Africa,75 to 79,Male,Sugar,11.722595058874091
Central Africa,80 to 84,Female,PUFA,1.0220804638399434
Central Africa,80 to 84,Female,Sodium,2.7686036606764777
Central Africa,80 to 84,Female,Sugar,13.275314403123888
Central Africa,80 to 84,Male,PUFA,1.0708953079571888
Central Africa,80 to 84,Male,Sodium,2.951392640870067
Central Africa,80 to 84,Male,Sugar,10.754908223825472
Central Africa,85 to 89,Female,PUFA,1.017022018538437
Central Africa,85 to 89,Female,Sodium,2.866711264543314
Central Africa,85 to 89,Female,Sugar,12.930637578159825
Central Africa,85 to 89,Male,PUFA,1.065998079989249
Central Africa,85 to 89,Male,Sodium,3.0918407264749033
Central Africa,85 to 89,Male,Sugar,10.77820950710392
Central Africa,90 to 94,Female,PUFA,1.015939811473017
Central Africa,90 to 94,Female,Sodium,2.870671242435148
Central Africa,90 to 94,Female,Sugar,12.8561861075134
